2016-10-14-16-52-58609	4.7	0.8	164.9	29.5	12.9	178.9	91.8	96.8	57.6	40.7	39.3	99.8	99.9	99.9	99.8	99.9
2016-10-14-16-52-58660	4.7	0.8	164.9	29.5	12.9	178.9	91.8	96.8	57.6	40.7	39.3	99.8	99.9	99.9	99.8	99.9
2016-10-14-16-52-58712	4.7	0.8	164.9	29.5	12.9	178.9	91.8	96.8	57.6	40.7	39.3	99.8	99.9	99.9	99.8	99.9
2016-10-14-16-52-58763	4.7	0.8	164.9	29.5	12.9	178.9	91.8	96.8	57.6	40.7	39.3	99.8	99.9	99.9	99.8	99.9
2016-10-14-16-52-58815	4.7	0.8	164.9	29.5	12.9	178.9	91.8	96.8	57.6	40.7	39.3	99.8	99.9	99.9	99.8	99.9
2016-10-14-16-52-58867	4.7	0.8	164.9	29.5	12.9	178.9	91.8	96.8	57.6	40.7	39.3	99.8	99.9	99.9	99.8	99.9
2016-10-14-16-52-58919	4.7	0.8	164.9	29.5	12.9	178.9	91.8	96.8	57.6	40.7	39.3	99.8	99.9	99.9	99.8	99.9
2016-10-14-16-52-58970	4.7	0.8	164.9	29.5	12.9	178.9	91.8	96.8	57.6	40.7	39.3	99.8	99.9	99.9	99.8	99.9
2016-10-14-16-52-59021	4.7	0.8	164.7	30.1	13.2	179.1	78.0	95.4	44.2	29.3	40.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-59073	4.7	0.8	164.7	30.1	13.2	179.1	78.0	95.4	44.2	29.3	40.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-59124	4.7	0.8	164.7	30.1	13.2	179.1	78.0	95.4	44.2	29.3	40.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-59175	4.7	0.8	164.7	30.1	13.2	179.1	78.0	95.4	44.2	29.3	40.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-59227	4.7	0.8	164.7	30.1	13.2	179.1	78.0	95.4	44.2	29.3	40.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-59279	4.7	0.8	164.7	30.1	13.2	179.1	78.0	95.4	44.2	29.3	40.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-59331	4.7	0.8	164.7	30.1	13.2	179.1	78.0	95.4	44.2	29.3	40.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-59382	4.7	0.8	164.7	30.1	13.2	179.1	78.0	95.4	44.2	29.3	40.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-59434	6.6	1.5	164.4	29.9	11.6	178.2	52.6	79.7	87.3	73.4	39.2	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-59485	6.6	1.5	164.4	29.9	11.6	178.2	52.6	79.7	87.3	73.4	39.2	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-59537	6.6	1.5	164.4	29.9	11.6	178.2	52.6	79.7	87.3	73.4	39.2	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-59588	6.6	1.5	164.4	29.9	11.6	178.2	52.6	79.7	87.3	73.4	39.2	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-59640	6.6	1.5	164.4	29.9	11.6	178.2	52.6	79.7	87.3	73.4	39.2	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-59691	6.6	1.5	164.4	29.9	11.6	178.2	52.6	79.7	87.3	73.4	39.2	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-59743	6.6	1.5	164.4	29.9	11.6	178.2	52.6	79.7	87.3	73.4	39.2	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-59794	6.6	1.5	164.4	29.9	11.6	178.2	52.6	79.7	87.3	73.4	39.2	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-59846	6.7	1.5	164.4	29.7	11.5	178.0	52.3	78.8	85.3	78.1	39.3	100.0	99.9	99.9	99.9	99.9
2016-10-14-16-52-59897	6.7	1.5	164.4	29.7	11.5	178.0	52.3	78.8	85.3	78.1	39.3	100.0	99.9	99.9	99.9	99.9
2016-10-14-16-52-59949	6.7	1.5	164.4	29.7	11.5	178.0	52.3	78.8	85.3	78.1	39.3	100.0	99.9	99.9	99.9	99.9
2016-10-14-16-53-1	6.7	1.5	164.4	29.7	11.5	178.0	52.3	78.8	85.3	78.1	39.3	100.0	99.9	99.9	99.9	99.9
